STAR,BMV,DIST,FE,H,J,KS,LOGG,MSTAR,RHOSTAR,RSTAR,TEFF
Kepler-107,,,,11.114,11.392,11.06,4.196,,,1.411,5851
Kepler-1049,,129,-0.33,11.348,11.971,11.18,4.77,0.51,,0.49,3864
Kepler-813,,840,-0.13,13.031,13.498,13.122,4.48,0.95,,0.93,5743
Kepler-427,0.71,1100,-0.19,12.814,13.161,12.777,4.14,0.96,0.4,1.35,5800
Kepler-1056,,971,0.02,12.895,13.242,12.827,4.33,1.12,,1.2,6127
Kepler-1165,,1081,0.05,13.08,13.362,13.07,4.34,1.13,,1.18,6080
Kepler-1104,,516,0.13,11.012,11.215,10.971,4.25,1.3,,1.41,6417
WASP-14,0.46,160,0,8.65,8.869,8.621,4.07,1.31,0.542,1.31,6475
Kepler-50,0.48,,,9.25,9.518,9.197,3.98,1.23,,1.88,6058
NN Ser,-0.672001,,,16.25,16.91,16.17,,,,,
Kepler-1279,,1017,0.06,12.662,12.901,12.62,4.26,1.21,,1.33,6221
Kepler-1599,,1004,0.02,13.386,13.735,13.361,4.45,0.99,,0.99,5767
Kepler-20,0.9,290,0.02,10.91,11.252,10.871,4.4,0.912,1.51,0.944,5466
HAT-P-27,0.99,204,0.14,10.249,10.626,10.109,4.5,0.92,1.94304,0.87,5190
Kepler-181,,,,12.948,13.364,12.88,4.619,,,0.749,5333
HD 116029,1.009,123.198,0.08,5.65,6.144,5.534,3.21,1.33,,5.04235,4811
Kepler-207,,,,11.841,12.1,11.805,4.129,,,1.588,5920
Kepler-1156,,759,0.02,12.752,13.05,12.66,4.44,1,,1,5778
Kepler-1512,,162,0.2,10.75,11.315,10.623,4.64,0.73,,0.67,4372
Kepler-787,,468,-0.09,13.306,13.937,13.105,4.67,0.65,,0.62,4248
Kepler-528,,711,0.02,12.488,12.795,12.409,4.39,1.01,,1.06,5807
HD 219828,0.654,72.3066,0.19,6.613,6.871,6.53,4.18,1.24,,1.4682,5891
Kepler-480,,806,0.11,12.11,12.332,12.065,4.28,1.25,,1.34,6322
Kepler-1567,,1226,-0.03,13.969,14.371,13.992,4.49,0.95,,0.93,5655
Kepler-1390,,760,-0.01,12.82,13.178,12.764,4.45,0.98,,0.98,5753
Kepler-1642,,447,-0.01,12.164,12.613,12.066,4.54,0.88,,0.84,5355
Kepler-11,,,0.0182,12.237,12.548,12.237,4.366,0.961,1.122,1.065,5663
Kepler-871,,1695,0.09,14.17,14.469,14.167,4.37,1.11,,1.14,5993
Kepler-1131,,1109,0.05,13.5,13.794,13.416,4.42,1.03,,1.04,5851
Kepler-705,,251,0.07,12.778,13.446,12.536,4.75,0.53,,0.51,3722
